chain_id,validator_name,validator_address,target_weight
juno-1,POSTHUMAN 🧬 StakeDrop,junovaloper1e8238v24qccht9mqc2w0r4luq462yxttjzn7qt,471
juno-1,ECO Stake 🌱 | REStake.app,junovaloper19ur8r2l25qhsy9xvej5zgpuc5cpn6syydmwtrt,459
juno-1,BlueStake 🚀 | 100% insurance,junovaloper1z3svprqzmquw6mckh6rgyt0dmd4yhv7c6l58qc,412
juno-1,Kleomedes,junovaloper1x8u2ypdr35802tjyjqyxan8x85fzxe6sk0qmh8,362
juno-1,Silk Nodes,junovaloper1v676erkdwd3hq2n2a7xte5qpymdfa8c8uyatcw,361
juno-1,0base.vc,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,344
juno-1,Stake&Relax 🦥,junovaloper1yg0h9xeseq3qfu2vkwj3m29yf42lnyfmqasn35,335
juno-1,Validatus,junovaloper19v94c3z7ckarwsum76kaagma0wqsqhh5w9jlsx,267
juno-1,Stakeflow,junovaloper1ssmt2aveqpc7e0ncgxt0tpj83ur623dvk7uvng,255
juno-1,🔥STAVR🔥 REStake ON✅,junovaloper177svs8gyz28pupaj6amgls6rahcmwmwq06fukv,254
juno-1,Crosnest,junovaloper1p0r4znp29547d8ra5k8t6ls0ztm3tj74ak38wz,246
juno-1,AutoStake 🛡️ Slash Protected,junovaloper15yuuev6n8sfvvkqx2m4rqvrnu8vyuzvmkku3fm,205
juno-1,🐾TRACE™,junovaloper13uflwz6ncv7wuey55rhh08nlmskpdpfevckja0,197
juno-1,Cosmos Spaces ☮️ 💜 ⚛️,junovaloper1836fhsg6yqpu98vezfc7caakchqe8pvske7t8q,175
laozi-mainnet,sorawit,bandvaloper1ycs4g7xu8wmf7n4vwwtfsvhtfm7tekvwk34rxz,800
laozi-mainnet,Nansen | Stake to Stack Points,bandvaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvn4hl7n,800
laozi-mainnet,B-Harvest,bandvaloper1q894x7p4ugl3q5l47e8ksll5k5lmx74fxqez5y,800
laozi-mainnet,Active Nodes,bandvaloper1nqmeykpnqdccxf2kfqnwszy748ll3qlzu0heyt,677
laozi-mainnet,Forbole,bandvaloper14kn0kk33szpwus9nh8n87fjel8djx0y0wz502z,669
laozi-mainnet,HashKey Cloud,bandvaloper1dr64r506ln5n3aqqgkccf56uwdd9d9jvlh9l4p,496
laozi-mainnet,Wanchain,bandvaloper1lksevk5362eterq75haf7wxx6jdpgdzyd9ms9h,464
laozi-mainnet,Wellstake,bandvaloper1cuc594q8uam3rx90tztgplssnymlqnr5epmsjq,364
laozi-mainnet,Stakecito Labs,bandvaloper1p26kdh5fx24qz9xa5jtjje8ha8ee9q44nrsc8c,352
laozi-mainnet,Imperator.co,bandvaloper1lvnlajgsn6mkx0p33g7ge6jyfpjlhrpv7clhqk,347
laozi-mainnet,Ubik Capital,bandvaloper14wuzcsyttmyedc7e7z7e0exhg8k94x6eulj6pt,341
laozi-mainnet,Stake Shark,bandvaloper1nguv0kdayw7qhy6d354el4f87d67ynt52wrdk3,340
laozi-mainnet,WeStaking,bandvaloper1qgvcttnjx3enjqg9pnhclt6d4z7qdknavg4q9c,337
laozi-mainnet,InfStones,bandvaloper1hln9scsl9yqup8nxyum06rmggql5m5zqwxmt3p,331
laozi-mainnet,polkachu.com,bandvaloper1cmx8hvx8pn9ezuc57rgy3dqqlkju6uph3mjwxs,330
laozi-mainnet,htx,bandvaloper1aqqfs9dftsmdnp3tuzqfvpwd4768mj42pd67ea,314
laozi-mainnet,Enigma,bandvaloper1pp534se9rmt59d5zkv4p8cp6jj5zxm4uxdhejs,232
laozi-mainnet,StakeCraft,bandvaloper1unfg2zhnssl07tql8d85zc6rx7zsfs5qh206av,200
laozi-mainnet,Stakewolle.com | Auto-compound,bandvaloper1hcu2spr3r80v36us40mg938f5qhaqq2qeajtfv,177
laozi-mainnet,HighStakes.ch | Daily Airdrops,bandvaloper1uytng9pl50mtedmsdrzanvy8vgxttvysw59ugd,177
laozi-mainnet,BitNordic,bandvaloper1qzl2ckmfv83w4f65rf77utuc5jmhtexpjxjyzw,171
laozi-mainnet,w3coins,bandvaloper1hdw8pzr79y4at0teak0mwcrjhv3e6n3wegfv2m,166
