Validator Name,Validator Address,Stride Delegations,Live Delegations,Delegations Minus Stride,Commission,CEX,Active,Uptime,Governance,Eligibility,Reason,Current Weight,New Weight
Gate Earn,injvaloper18j85r034wlgwl7wv9e6na03sj54vtjvkhnzq2m,0,217913014999999999999999,2.17913E+23,5.00%,N,Y,,,N,bottom_5%_stake,0.00%,
Talis Protocol,injvaloper1kwf763rngxzt4wr4c37hnsj5768km8vvzy35ks,0,200474695951782939827261,2.00475E+23,7.00%,N,N,,,N,inactive,0.00%,
PRYZM | StakeDrop,injvaloper1v2wjf06nutm9phvh5hgc3twpst9q50y4f8ckd5,0,112145708471430324092240,1.12146E+23,5.00%,N,N,,,N,inactive,0.00%,
Talis Protocol (legacy),injvaloper1h37jxecva2xgm78ejw3683vrw932j6nuzgdxgj,0,100932863344348483206743,1.00933E+23,5.00%,N,N,,,N,inactive,0.00%,
Stakecito Labs,injvaloper1ee7xnhczhvu064utmdn48sh0wx7zq3pgy6frgm,0,49038492314777178669577,4.90385E+22,10.00%,N,N,,,N,inactive,0.00%,
"Frens (🤝,🤝)",injvaloper1m4pj2y9qrm77m9gsa8uu7xj6xjyy7du5hg2t2d,350279414820242838482,35579493655402254390406,3.52292E+22,5.00%,N,N,,,N,inactive,1.52%,
Stakely.io - Please Redelegate,injvaloper1mwerm24kce7dcl59t6n0caw7c8zxgkrjj9svwj,313562606847784153787,22503990053822148476199,2.21904E+22,5.00%,N,N,,,N,"inactive, name_excluded (redelegate)",1.36%,
PartnerStaking | Timeworx.io Airdrop,injvaloper1hkjsxadg0a0dj5pwdyfnf8qm0az6wcxcwhdnry,0,21819603220584940184131,2.18196E+22,5.00%,N,N,,,N,inactive,0.00%,
Dojo | Delegate for Airdrop,injvaloper17dt0hpykufxjrc7fh8rxwgv6z9kx8vlgg0qqrs,0,20498525102986662355918,2.04985E+22,5.00%,N,N,,,N,inactive,0.00%,
Atomic Nodes,injvaloper1zy5ufk2aluhyup57j0y3ugm68s3lz9nfw8v30r,0,16828993891360384912200,1.6829E+22,10.00%,N,N,,,N,inactive,0.00%,
PFC - Plan For Chaos,injvaloper15vlkdnu2c0k0gaclgycnyjm7c5f3hsde034f5p,190873373308671744988,14211287149393682363967,1.40204E+22,5.00%,N,N,,,N,inactive,0.83%,
StakeLab.zone,injvaloper1r3lgsyq49zvl36cnevjx3q6u2ep897rws9hauk,0,11750275460214579378362,1.17503E+22,5.00%,N,N,,,N,inactive,0.00%,
POSTHUMAN 🧬 StakeDrop,injvaloper1e84fr6cxgcflv3fc9ey6n8425au7zx6wsztrle,0,11739814511206835470651,1.17398E+22,5.00%,N,N,,,N,inactive,0.00%,
Injective Finance,injvaloper1s28qvpfpq3525ep0surypnmwkfy8d2n237pnc4,0,10468417860494980596466,1.04684E+22,5.00%,N,N,,,N,inactive,0.00%,
kingnodes 👑,injvaloper1p66ez0ywzssuq26f7056mx3ydgvkfqw8lf93e8,0,10430851454729099823496,1.04309E+22,5.00%,N,N,,,N,inactive,0.00%,
Kiln (legacy - please redelegate),injvaloper1rf0fczrw2gnhuju86kmjtku4dvf9dcc2mpe7pe,311412473640849225538,7513984643839948701325,7.20257E+21,10.00%,N,N,,,N,"inactive, name_excluded (redelegate)",1.35%,
Golden Ratio Staking,injvaloper1agu7gu9ay39jkaccsfnt0ykjce6daycjuzyg2a,0,6941276247911077769735,6.94128E+21,5.00%,N,N,,,N,inactive,0.00%,
Ubik Capital - CLOSED - Inactive - PLS REDELEGATE,injvaloper1h4t5dqenq86znza06thc64pzyxtme7zltyeg8k,90936864498908449829,6544996315363569502314,6.45406E+21,5.00%,N,N,,,N,"inactive, name_excluded (redelegate)",0.39%,
Stakewolle.com | Auto-compound,injvaloper1kpfxtqt5cmlew46dem32fqlk5g6k4wyueh4szu,0,5908184728208534531417,5.90818E+21,5.00%,N,N,,,N,inactive,0.00%,
BackBone Labs | Delegate for $SOUL Claim Drop,injvaloper16gdnrnl224ylje5z9vd0vn0msym7p58f00qauj,0,5459425064116375442451,5.45943E+21,10.00%,N,N,,,N,inactive,0.00%,
Open DeFi,injvaloper185jhauhyttg2d5j535hksj234dn0hg0zy6q5el,0,5159707602025831231359,5.15971E+21,100.00%,N,N,,,N,"inactive, commission>10%",0.00%,
Orman.xyz,injvaloper14ncezrfu3hxauehjntf6pdpme7l5etqsep2qp6,0,4584087582606931245975,4.58409E+21,5.00%,N,N,,,N,inactive,0.00%,
ECO Stake 🌱 | REStake.app,injvaloper1vqz7mgm47xhx25xu5g9qagnz48naks6pk6fmg2,0,4425005333784817426263,4.42501E+21,5.00%,N,N,,,N,inactive,0.00%,
WolfEdge,injvaloper1dqryh824u0w7p6ajk2gsr29tgj6d0nkfeka457,0,2886851600000000010000,2.88685E+21,5.00%,N,N,,,N,inactive,0.00%,
Swiss Staking | Bare Metal | Bunker,injvaloper1r4lvwh0pmkmjewa76rem7ndr0z8zg3pseyfpux,0,2796013941800545242851,2.79601E+21,5.00%,N,N,,,N,inactive,0.00%,
